20-06-22 17:05:28 TCP/IP File Server started
20-06-22 17:35:27 TCP/IP File Server started
20-06-22 18:05:27 TCP/IP File Server started
20-06-22 18:35:28 TCP/IP File Server started
20-06-22 19:05:28 TCP/IP File Server started
20-06-22 19:35:28 TCP/IP File Server started
20-06-22 20:05:28 TCP/IP File Server started
20-06-22 20:35:28 TCP/IP File Server started
20-06-22 21:05:28 TCP/IP File Server started
20-06-22 21:35:27 TCP/IP File Server started
20-06-22 22:05:28 TCP/IP File Server started
20-06-22 22:35:27 TCP/IP File Server started
20-06-22 23:05:27 TCP/IP File Server started
20-06-22 23:35:27 TCP/IP File Server started
20-06-23 00:05:28 TCP/IP File Server started
20-06-23 00:35:28 TCP/IP File Server started
20-06-23 01:05:28 TCP/IP File Server started
20-06-23 01:28:10  Net - Brunattos connected 23-6-20 01:28:10
20-06-23 01:28:20  Net - Brunattos disconnected 23-6-20 01:28:20
20-06-23 01:35:28 TCP/IP File Server started
20-06-23 02:05:28 TCP/IP File Server started
20-06-23 02:35:27 TCP/IP File Server started
20-06-23 03:05:28 TCP/IP File Server started
20-06-23 03:35:28 TCP/IP File Server started
20-06-23 04:05:28 TCP/IP File Server started
20-06-23 04:35:28 TCP/IP File Server started
20-06-23 05:05:28 TCP/IP File Server started
20-06-23 05:35:28 TCP/IP File Server started
20-06-23 06:05:28 TCP/IP File Server started
20-06-23 06:35:28 TCP/IP File Server started
20-06-23 06:47:48  Net - -phobos connected 23-6-20 06:47:48
20-06-23 06:48:53  Net - -phobos disconnected 23-6-20 06:48:53
20-06-23 06:52:50  Net - -phobos connected 23-6-20 06:52:50
20-06-23 06:52:52  Net - -phobos disconnected 23-6-20 06:52:52
20-06-23 07:05:28 TCP/IP File Server started
20-06-23 07:35:27 TCP/IP File Server started
20-06-23 08:05:28 TCP/IP File Server started
20-06-23 08:35:27 TCP/IP File Server started
20-06-23 09:05:28 TCP/IP File Server started
20-06-23 09:35:27 TCP/IP File Server started
20-06-23 10:05:28 TCP/IP File Server started
20-06-23 10:35:28 TCP/IP File Server started
20-06-23 11:05:28 TCP/IP File Server started
20-06-23 11:35:28 TCP/IP File Server started
20-06-23 12:05:28 TCP/IP File Server started
20-06-23 12:35:27 TCP/IP File Server started
20-06-23 13:05:27 TCP/IP File Server started
20-06-23 13:35:28 TCP/IP File Server started
20-06-23 14:05:27 TCP/IP File Server started
20-06-23 14:35:28 TCP/IP File Server started
20-06-23 15:05:28 TCP/IP File Server started
20-06-23 15:35:28 TCP/IP File Server started
20-06-23 16:05:28 TCP/IP File Server started
20-06-23 16:35:28 TCP/IP File Server started
20-06-23 17:05:28 TCP/IP File Server started
20-06-23 17:35:28 TCP/IP File Server started
20-06-23 18:05:28 TCP/IP File Server started
20-06-23 18:35:28 TCP/IP File Server started
20-06-23 19:05:28 TCP/IP File Server started
20-06-23 19:35:28 TCP/IP File Server started
20-06-23 20:05:28 TCP/IP File Server started
20-06-23 20:35:28 TCP/IP File Server started
20-06-23 21:05:28 TCP/IP File Server started
20-06-23 21:35:28 TCP/IP File Server started
20-06-23 22:05:28 TCP/IP File Server started
20-06-23 22:35:27 TCP/IP File Server started
20-06-23 23:05:27 TCP/IP File Server started
20-06-23 23:06:35 Destroying Devices.
20-06-23 23:06:35    End of Log.
