20-03-31 21:05:53    Console Log Started
20-03-31 21:05:53 Welcome to Soldat 1.7.1
20-03-31 21:05:53  [*] Preparing scripts to be launched
20-03-31 21:05:53  [*] Done
20-03-31 21:05:53 ctf_Ash by chakapoko maker
20-03-31 21:05:53  Connection for file server started. Port: 23083
20-03-31 21:05:53 Registering server @ 88.99.234.252
20-03-31 21:06:04 Registering server @ 88.99.234.252
20-03-31 21:06:14 Registering server @ 88.99.234.252
20-03-31 21:06:24 Registering server @ 88.99.234.252
20-03-31 21:06:34 Registering server @ 88.99.234.252
20-03-31 21:06:44 Registering server @ 88.99.234.252
20-03-31 21:06:54 Registering server @ 88.99.234.252
20-03-31 21:07:04 Registering server @ 88.99.234.252
20-03-31 21:07:14 Registering server @ 88.99.234.252
20-03-31 21:07:24 Registering server @ 88.99.234.252
20-03-31 21:07:34 Registering server @ 88.99.234.252
20-03-31 21:07:44 Registering server @ 88.99.234.252
20-03-31 21:07:54 Registering server @ 88.99.234.252
20-03-31 21:08:04 Registering server @ 88.99.234.252
20-03-31 21:08:14 Registering server @ 88.99.234.252
20-03-31 21:08:24 Registering server @ 88.99.234.252
20-03-31 21:08:34 Registering server @ 88.99.234.252
20-03-31 21:08:44 Registering server @ 88.99.234.252
20-03-31 21:08:54 Registering server @ 88.99.234.252
20-03-31 21:09:04 Registering server @ 88.99.234.252
20-03-31 21:09:14 Registering server @ 88.99.234.252
20-03-31 21:09:24 Registering server @ 88.99.234.252
20-03-31 21:09:34 Registering server @ 88.99.234.252
20-03-31 21:09:44 Registering server @ 88.99.234.252
20-03-31 21:09:54 Registering server @ 88.99.234.252
20-03-31 21:10:04 Registering server @ 88.99.234.252
20-03-31 21:10:14 Registering server @ 88.99.234.252
20-03-31 21:10:24 Registering server @ 88.99.234.252
20-03-31 21:10:34 Registering server @ 88.99.234.252
20-03-31 21:10:44 Registering server @ 88.99.234.252
20-03-31 21:10:53 Time Left: 5 minutes
20-03-31 21:10:54 Registering server @ 88.99.234.252
20-03-31 21:11:04 Registering server @ 88.99.234.252
20-03-31 21:11:14 Registering server @ 88.99.234.252
20-03-31 21:11:24 Registering server @ 88.99.234.252
20-03-31 21:11:34 Registering server @ 88.99.234.252
20-03-31 21:11:44 Registering server @ 88.99.234.252
20-03-31 21:11:53 Time Left: 4 minutes
20-03-31 21:11:54 Registering server @ 88.99.234.252
20-03-31 21:12:04 Registering server @ 88.99.234.252
20-03-31 21:12:14 Registering server @ 88.99.234.252
20-03-31 21:12:24 Registering server @ 88.99.234.252
20-03-31 21:12:34 Registering server @ 88.99.234.252
20-03-31 21:12:44 Registering server @ 88.99.234.252
20-03-31 21:12:53 Time Left: 3 minutes
20-03-31 21:12:54 Registering server @ 88.99.234.252
20-03-31 21:13:04 Registering server @ 88.99.234.252
20-03-31 21:13:14 Registering server @ 88.99.234.252
20-03-31 21:13:24 Registering server @ 88.99.234.252
20-03-31 21:13:34 Registering server @ 88.99.234.252
