20-04-22 03:13:31    Log Started
20-04-22 03:13:31 Opened /home/kader_b/int1/soldat.ini
20-04-22 03:13:31 Creating network interface.
20-04-22 03:13:31 Loading Animations.
20-04-22 03:13:31 Loading Lobby Servers List
20-04-22 03:13:31 Loading Maps List
20-04-22 03:13:31 Loading Map.
20-04-22 03:13:31 Creating Weapons.
20-04-22 03:13:31 Starting Game Server.
20-04-22 03:13:31 TCP/IP File Server started
20-04-22 03:15:10  Net - Divas| Enigma connected 22-4-20 03:15:10
20-04-22 03:15:11  Net - |D.Forc3|Luis Dimas connected 22-4-20 03:15:11
20-04-22 03:15:11  Net - Divas| Rattle connected 22-4-20 03:15:11
20-04-22 03:15:12  Net - Divas| Enigma disconnected 22-4-20 03:15:12
20-04-22 03:15:13  Net - Divas| Enigma connected 22-4-20 03:15:13
20-04-22 03:15:19  Net - Divas| mipHo connected 22-4-20 03:15:19
20-04-22 03:15:29  Net - |D.Forc3|Lawshot connected 22-4-20 03:15:29
20-04-22 03:15:51  Net - Divas| Sk8' connected 22-4-20 03:15:51
20-04-22 03:16:08  Net - |D.Forc3|LeprosycL connected 22-4-20 03:16:08
20-04-22 03:16:48  Net - Divas| Enigma connected 22-4-20 03:16:48
20-04-22 03:17:19  Net - Divas| Rattle connected 22-4-20 03:17:19
20-04-22 03:17:29  Net - Divas| Rattle connected 22-4-20 03:17:29
20-04-22 03:19:13  Net - Divas| Sk8' connected 22-4-20 03:19:13
20-04-22 03:19:40  Net - Divas| Enigma disconnected 22-4-20 03:19:40
20-04-22 03:30:05  Net - |D.Forc3|Lawshot disconnected 22-4-20 03:30:05
20-04-22 03:30:06  Net - Divas| Rattle disconnected 22-4-20 03:30:06
20-04-22 03:30:06  Net - Divas| mipHo disconnected 22-4-20 03:30:06
20-04-22 03:30:08  Net - |D.Forc3|Luis Dimas disconnected 22-4-20 03:30:08
20-04-22 03:30:17  Net - Divas| Sk8' disconnected 22-4-20 03:30:17
20-04-22 03:30:26  Net - Divas| Enigma connected 22-4-20 03:30:26
20-04-22 03:30:33  Net - Divas| mipHo connected 22-4-20 03:30:33
20-04-22 03:30:34  Net - Divas| Rattle connected 22-4-20 03:30:34
20-04-22 03:30:35  Net - Divas| Sk8' connected 22-4-20 03:30:35
20-04-22 03:30:39  Net - |D.Forc3|Luis Dimas connected 22-4-20 03:30:39
20-04-22 03:30:43  Net - Divas| Sk8' disconnected 22-4-20 03:30:43
20-04-22 03:30:44  Net - Divas| mipHo connected 22-4-20 03:30:44
20-04-22 03:30:46  Net - Divas| Sk8' connected 22-4-20 03:30:46
20-04-22 03:30:58  Net - K!NG| YnGwi3 connected 22-4-20 03:30:58
20-04-22 03:31:34  Net - |D.Forc3|.Only Ak-47 connected 22-4-20 03:31:34
20-04-22 03:32:05  Net - |D.Forc3|.Only Ak-47 disconnected 22-4-20 03:32:05
20-04-22 03:33:09  Net - K!NG| YnGwi3 disconnected 22-4-20 03:33:09
20-04-22 03:33:12  Net - K!NG| YnGwi3 connected 22-4-20 03:33:12
20-04-22 03:34:00  Net - |D.Forc3|.Only Ak-47 connected 22-4-20 03:34:00
20-04-22 03:43:31 TCP/IP File Server started
20-04-22 03:44:21  Net - |D.Forc3|LeprosycL disconnected 22-4-20 03:44:21
20-04-22 03:44:37  Net - |D.Forc3|LeprosycL connected 22-4-20 03:44:37
20-04-22 03:44:39  Net - |D.Forc3|Luis Dimas disconnected 22-4-20 03:44:39
20-04-22 03:44:40  Net - |D.Forc3|.Only Ak-47 disconnected 22-4-20 03:44:40
20-04-22 03:44:41  Net - Divas| Enigma disconnected 22-4-20 03:44:41
