20-04-29 02:49:59    Log Started
20-04-29 02:49:59 Opened /home/kader_b/int1/soldat.ini
20-04-29 02:49:59 Creating network interface.
20-04-29 02:49:59 Loading Animations.
20-04-29 02:49:59 Loading Lobby Servers List
20-04-29 02:49:59 Loading Maps List
20-04-29 02:49:59 Loading Map.
20-04-29 02:49:59 Creating Weapons.
20-04-29 02:49:59 Starting Game Server.
20-04-29 02:49:59 TCP/IP File Server started
20-04-29 03:19:59 TCP/IP File Server started
20-04-29 03:49:59 TCP/IP File Server started
20-04-29 04:15:34  Net - #KbN! AsteK connected 29-4-20 04:15:34
20-04-29 04:15:38  Net - #KbN! AsteK disconnected 29-4-20 04:15:38
20-04-29 04:19:59 TCP/IP File Server started
20-04-29 04:49:59 TCP/IP File Server started
20-04-29 05:19:59 TCP/IP File Server started
20-04-29 05:49:59 TCP/IP File Server started
20-04-29 06:19:59 TCP/IP File Server started
20-04-29 06:49:59 TCP/IP File Server started
20-04-29 07:19:59 TCP/IP File Server started
20-04-29 07:49:59 TCP/IP File Server started
20-04-29 08:19:59 TCP/IP File Server started
20-04-29 08:49:59 TCP/IP File Server started
20-04-29 09:19:59 TCP/IP File Server started
20-04-29 09:49:59 TCP/IP File Server started
20-04-29 10:19:59 TCP/IP File Server started
20-04-29 10:49:59 TCP/IP File Server started
20-04-29 11:19:59 TCP/IP File Server started
20-04-29 11:49:59 TCP/IP File Server started
20-04-29 12:19:59 TCP/IP File Server started
20-04-29 12:49:59 TCP/IP File Server started
20-04-29 13:19:59 TCP/IP File Server started
20-04-29 13:49:59 TCP/IP File Server started
20-04-29 14:19:59 TCP/IP File Server started
20-04-29 14:49:59 TCP/IP File Server started
20-04-29 15:19:59 TCP/IP File Server started
20-04-29 15:49:59 TCP/IP File Server started
20-04-29 16:19:59 TCP/IP File Server started
20-04-29 16:49:59 TCP/IP File Server started
20-04-29 17:19:59 TCP/IP File Server started
20-04-29 17:49:59 TCP/IP File Server started
20-04-29 18:19:59 TCP/IP File Server started
20-04-29 18:49:59 TCP/IP File Server started
20-04-29 19:19:59 TCP/IP File Server started
20-04-29 19:49:59 TCP/IP File Server started
20-04-29 20:19:59 TCP/IP File Server started
20-04-29 20:49:59 TCP/IP File Server started
20-04-29 21:19:59 TCP/IP File Server started
20-04-29 21:49:59 TCP/IP File Server started
20-04-29 22:19:59 TCP/IP File Server started
20-04-29 22:49:59 TCP/IP File Server started
20-04-29 23:19:59 TCP/IP File Server started
20-04-29 23:49:59 TCP/IP File Server started
20-04-30 00:19:59 TCP/IP File Server started
20-04-30 00:49:59 TCP/IP File Server started
20-04-30 00:59:48  Net - S2 ~ FrankO.- connected 30-4-20 00:59:48
20-04-30 01:00:01  Net - S2 ~ FrankO.- disconnected 30-4-20 01:00:01
20-04-30 01:19:59 TCP/IP File Server started
20-04-30 01:49:59 TCP/IP File Server started
20-04-30 02:19:59 TCP/IP File Server started
20-04-30 02:49:59 TCP/IP File Server started
20-04-30 03:19:59 TCP/IP File Server started
20-04-30 03:24:20  Net - Divas| Rattle connected 30-4-20 03:24:20
20-04-30 03:25:37  Net - Divas| Rattle disconnected 30-4-20 03:25:37
20-04-30 03:49:59 TCP/IP File Server started
20-04-30 04:19:59 TCP/IP File Server started
20-04-30 04:49:59 TCP/IP File Server started
20-04-30 05:19:59 TCP/IP File Server started
