20-06-19 22:00:01    Log Started
20-06-19 22:00:01 Opened /home/kader_b/int3/soldat.ini
20-06-19 22:00:01 Creating network interface.
20-06-19 22:00:01 Loading Animations.
20-06-19 22:00:02 Loading Lobby Servers List
20-06-19 22:00:02 Loading Maps List
20-06-19 22:00:02 Loading Map.
20-06-19 22:00:02 Creating Weapons.
20-06-19 22:00:02 Starting Game Server.
20-06-19 22:00:02 TCP/IP File Server started
20-06-19 22:30:02 TCP/IP File Server started
20-06-19 23:00:02 TCP/IP File Server started
20-06-19 23:30:02 TCP/IP File Server started
20-06-20 00:00:02 TCP/IP File Server started
20-06-20 00:30:02 TCP/IP File Server started
20-06-20 01:00:02 TCP/IP File Server started
20-06-20 01:30:02 TCP/IP File Server started
20-06-20 02:00:02 TCP/IP File Server started
20-06-20 02:30:02 TCP/IP File Server started
20-06-20 03:00:02 TCP/IP File Server started
20-06-20 03:30:02 TCP/IP File Server started
20-06-20 04:00:02 TCP/IP File Server started
20-06-20 04:30:02 TCP/IP File Server started
20-06-20 05:00:02 TCP/IP File Server started
20-06-20 05:30:02 TCP/IP File Server started
20-06-20 06:00:02 TCP/IP File Server started
20-06-20 06:30:02 TCP/IP File Server started
20-06-20 07:00:02 TCP/IP File Server started
20-06-20 07:30:02 TCP/IP File Server started
20-06-20 08:00:02 TCP/IP File Server started
20-06-20 08:30:02 TCP/IP File Server started
20-06-20 09:00:02 TCP/IP File Server started
20-06-20 09:30:02 TCP/IP File Server started
20-06-20 10:00:02 TCP/IP File Server started
20-06-20 10:30:02 TCP/IP File Server started
20-06-20 11:00:02 TCP/IP File Server started
20-06-20 11:30:02 TCP/IP File Server started
20-06-20 12:00:02 TCP/IP File Server started
20-06-20 12:30:02 TCP/IP File Server started
20-06-20 13:00:02 TCP/IP File Server started
20-06-20 13:30:02 TCP/IP File Server started
20-06-20 14:00:02 TCP/IP File Server started
20-06-20 14:30:02 TCP/IP File Server started
20-06-20 15:00:02 TCP/IP File Server started
20-06-20 15:30:02 TCP/IP File Server started
20-06-20 16:00:02 TCP/IP File Server started
20-06-20 16:30:02 TCP/IP File Server started
20-06-20 17:00:02 TCP/IP File Server started
20-06-20 17:30:02 TCP/IP File Server started
20-06-20 18:00:02 TCP/IP File Server started
20-06-20 18:30:02 TCP/IP File Server started
20-06-20 19:00:02 TCP/IP File Server started
20-06-20 19:30:02 TCP/IP File Server started
20-06-20 20:00:02 TCP/IP File Server started
20-06-20 20:30:02 TCP/IP File Server started
20-06-20 21:00:02 TCP/IP File Server started
20-06-20 21:30:02 TCP/IP File Server started
20-06-20 22:00:02 TCP/IP File Server started
20-06-20 22:30:02 TCP/IP File Server started
20-06-20 23:00:02 TCP/IP File Server started
20-06-20 23:30:02 TCP/IP File Server started
20-06-21 00:00:02 TCP/IP File Server started
20-06-21 00:30:02 TCP/IP File Server started
20-06-21 01:00:02 TCP/IP File Server started
20-06-21 01:30:02 TCP/IP File Server started
20-06-21 02:00:02 TCP/IP File Server started
20-06-21 02:30:02 TCP/IP File Server started
20-06-21 03:00:02 TCP/IP File Server started
20-06-21 03:30:02 TCP/IP File Server started
20-06-21 04:00:02 TCP/IP File Server started
20-06-21 04:30:02 TCP/IP File Server started
20-06-21 05:00:02 TCP/IP File Server started
20-06-21 05:30:02 TCP/IP File Server started
20-06-21 06:00:02 TCP/IP File Server started
20-06-21 06:30:02 TCP/IP File Server started
20-06-21 07:00:02 TCP/IP File Server started
20-06-21 07:30:02 TCP/IP File Server started
20-06-21 08:00:02 TCP/IP File Server started
20-06-21 08:30:19 TCP/IP File Server started
20-06-21 09:00:19 TCP/IP File Server started
20-06-21 09:30:19 TCP/IP File Server started
20-06-21 10:00:19 TCP/IP File Server started
20-06-21 10:30:19 TCP/IP File Server started
