20-06-17 01:36:15    Log Started
20-06-17 01:36:15 Opened /home/kader_b/int2/soldat.ini
20-06-17 02:28:10  Net - S2 ~ DeFkOndOz* connected 17-6-20 02:28:10
20-06-17 02:28:11  Net - S2 ~ CracK connected 17-6-20 02:28:11
20-06-17 02:28:12  Net - RedcL connected 17-6-20 02:28:12
20-06-17 02:28:17  Net - S2 ~ AsteK connected 17-6-20 02:28:17
20-06-17 02:28:22  Net - S2 ~ patuzhO* connected 17-6-20 02:28:22
20-06-17 02:28:31  Net - S2 ~ CracK connected 17-6-20 02:28:31
20-06-17 02:28:42  Net - S2 ~ Opazo* connected 17-6-20 02:28:42
20-06-17 02:29:26  Net - S2 ~ patuzhO* connected 17-6-20 02:29:26
20-06-17 02:29:27  Net - S2 ~ CracK connected 17-6-20 02:29:27
20-06-17 02:29:34  Net - S2 ~ Opazo* connected 17-6-20 02:29:34
20-06-17 02:29:35  Net - S2 ~ AsteK connected 17-6-20 02:29:35
20-06-17 02:31:45  Net - S2 ~ DeFkOndOz* connected 17-6-20 02:31:45
20-06-17 02:31:47  Net - S2 ~ CracK connected 17-6-20 02:31:47
20-06-17 02:31:47  Net - S2 ~ patuzhO* connected 17-6-20 02:31:47
20-06-17 02:31:48  Net - RedcL connected 17-6-20 02:31:48
20-06-17 02:32:16  Net - S2 ~ Opazo* connected 17-6-20 02:32:16
20-06-17 02:32:16  Net - S2 ~ DeFkOndOz* connected 17-6-20 02:32:16
20-06-17 02:32:17  Net - RedcL connected 17-6-20 02:32:17
20-06-17 02:32:24  Net - S2 ~ AsteK connected 17-6-20 02:32:24
20-06-17 02:33:45  Net - S2 ~ CracK disconnected 17-6-20 02:33:45
20-06-17 02:34:07  Net - S2 ~ DeFkOndOz* connected 17-6-20 02:34:07
20-06-17 02:34:15  Net - S3 ~ PoKemon disconnected 17-6-20 02:34:15
20-06-17 02:34:15  Net - S2 ~ patuzhO* disconnected 17-6-20 02:34:15
20-06-17 02:34:15  Net - S2 ~ BioSeaX! disconnected 17-6-20 02:34:15
20-06-17 02:34:15  Net - S2 ~ Opazo* disconnected 17-6-20 02:34:15
20-06-17 02:34:15  Net - S2 ~ AsteK disconnected 17-6-20 02:34:15
20-06-17 02:34:15  Net - S3 ~Violet* disconnected 17-6-20 02:34:15
20-06-17 02:34:15  Net - RedcL disconnected 17-6-20 02:34:15
20-06-17 02:34:21  Net - S2 ~ DeFkOndOz* disconnected 17-6-20 02:34:21
20-06-17 02:34:27  Net - S2 ~ CracK connected 17-6-20 02:34:27
20-06-17 02:34:28  Net - S2 ~ DeFkOndOz* connected 17-6-20 02:34:28
20-06-17 02:34:31  Net - S2 ~ DeFkOndOz* connected 17-6-20 02:34:31
20-06-17 02:34:32  Net - S3 ~Violet* connected 17-6-20 02:34:32
20-06-17 02:34:42  Net - S2 ~ BioSeaX! connected 17-6-20 02:34:42
20-06-17 02:34:42  Net - S2 ~ AsteK connected 17-6-20 02:34:42
