20-05-04 16:15:01    Log Started
20-05-04 16:15:01 Opened /home/kader_b/int2/soldat.ini
20-05-04 16:15:01 Creating network interface.
20-05-04 16:15:01 Loading Animations.
20-05-04 16:15:01 Loading Lobby Servers List
20-05-05 06:15:01 TCP/IP File Server started
20-05-05 06:45:01 TCP/IP File Server started
20-05-05 07:15:01 TCP/IP File Server started
20-05-05 07:45:01 TCP/IP File Server started
20-05-05 08:15:01 TCP/IP File Server started
20-05-05 08:45:01 TCP/IP File Server started
20-05-05 09:15:01 TCP/IP File Server started
20-05-05 09:45:01 TCP/IP File Server started
20-05-05 10:15:01 TCP/IP File Server started
20-05-05 10:45:01 TCP/IP File Server started
20-05-05 11:15:01 TCP/IP File Server started
20-05-05 11:45:01 TCP/IP File Server started
20-05-05 12:15:01 TCP/IP File Server started
20-05-05 12:45:01 TCP/IP File Server started
20-05-05 13:15:01 TCP/IP File Server started
20-05-05 13:45:01 TCP/IP File Server started
20-05-05 14:15:01 TCP/IP File Server started
20-05-05 14:45:01 TCP/IP File Server started
20-05-05 15:15:01 TCP/IP File Server started
20-05-05 15:45:01 TCP/IP File Server started
20-05-05 16:15:01 TCP/IP File Server started
20-05-05 16:45:01 TCP/IP File Server started
20-05-05 17:15:01 TCP/IP File Server started
20-05-05 17:45:01 TCP/IP File Server started
20-05-05 18:15:01 TCP/IP File Server started
20-05-05 18:45:01 TCP/IP File Server started
20-05-05 19:15:01 TCP/IP File Server started
20-05-05 19:45:01 TCP/IP File Server started
20-05-05 20:15:01 TCP/IP File Server started
20-05-05 20:45:01 TCP/IP File Server started
20-05-05 21:15:01 TCP/IP File Server started
20-05-05 21:45:01 TCP/IP File Server started
20-05-05 22:15:01 TCP/IP File Server started
20-05-05 22:45:01 TCP/IP File Server started
20-05-05 23:15:01 TCP/IP File Server started
20-05-05 23:45:01 TCP/IP File Server started
20-05-06 00:15:01 TCP/IP File Server started
20-05-06 00:45:01 TCP/IP File Server started
20-05-06 01:15:01 TCP/IP File Server started
20-05-06 01:45:01 TCP/IP File Server started
20-05-06 02:15:01 TCP/IP File Server started
20-05-06 02:45:01 TCP/IP File Server started
20-05-06 03:15:01 TCP/IP File Server started
20-05-06 03:45:01 TCP/IP File Server started
20-05-06 04:15:01 TCP/IP File Server started
20-05-06 04:45:01 TCP/IP File Server started
20-05-06 05:15:01 TCP/IP File Server started
20-05-06 05:45:01 TCP/IP File Server started
20-05-06 06:15:01 TCP/IP File Server started
20-05-06 06:45:01 TCP/IP File Server started
20-05-06 07:15:01 TCP/IP File Server started
20-05-06 07:45:01 TCP/IP File Server started
20-05-06 08:15:01 TCP/IP File Server started
20-05-06 08:45:01 TCP/IP File Server started
20-05-06 09:15:01 TCP/IP File Server started
20-05-06 09:45:01 TCP/IP File Server started
20-05-06 10:15:01 TCP/IP File Server started
20-05-06 10:45:01 TCP/IP File Server started
20-05-06 11:15:01 TCP/IP File Server started
20-05-06 11:45:01 TCP/IP File Server started
20-05-06 12:15:01 TCP/IP File Server started
20-05-06 12:45:01 TCP/IP File Server started
20-05-06 13:15:01 TCP/IP File Server started
20-05-06 13:45:01 TCP/IP File Server started
20-05-06 14:15:01 TCP/IP File Server started
20-05-06 14:45:01 TCP/IP File Server started
20-05-06 15:15:01 TCP/IP File Server started
20-05-06 15:45:01 TCP/IP File Server started
20-05-06 16:15:01 TCP/IP File Server started
20-05-06 16:45:01 TCP/IP File Server started
20-05-06 17:15:01 TCP/IP File Server started
20-05-06 17:45:01 TCP/IP File Server started
20-05-06 18:15:01 TCP/IP File Server started
20-05-06 18:45:01 TCP/IP File Server started
20-05-06 19:15:01 TCP/IP File Server started
20-05-06 19:45:01 TCP/IP File Server started
20-05-06 20:15:01 TCP/IP File Server started
20-05-06 20:45:01 TCP/IP File Server started
20-05-06 21:15:01 TCP/IP File Server started
20-05-06 21:45:01 TCP/IP File Server started
20-05-06 22:15:01 TCP/IP File Server started
20-05-06 22:45:01 TCP/IP File Server started
20-05-06 23:15:01 TCP/IP File Server started
20-05-06 23:45:01 TCP/IP File Server started
20-05-07 00:15:01 TCP/IP File Server started
20-05-07 00:45:01 TCP/IP File Server started
20-05-07 01:15:01 TCP/IP File Server started
20-05-07 01:45:01 TCP/IP File Server started
20-05-07 02:15:01 TCP/IP File Server started
20-05-07 02:45:01 TCP/IP File Server started
20-05-07 03:15:01 TCP/IP File Server started
20-05-07 03:45:01 TCP/IP File Server started
20-05-07 04:15:01 TCP/IP File Server started
20-05-07 04:45:01 TCP/IP File Server started
20-05-07 05:15:01 TCP/IP File Server started
20-05-07 05:45:01 TCP/IP File Server started
20-05-07 06:15:01 TCP/IP File Server started
20-05-07 06:45:01 TCP/IP File Server started
20-05-07 07:15:01 TCP/IP File Server started
20-05-07 07:45:01 TCP/IP File Server started
20-05-07 08:15:01 TCP/IP File Server started
20-05-07 08:45:01 TCP/IP File Server started
20-05-07 09:15:01 TCP/IP File Server started
20-05-07 09:45:01 TCP/IP File Server started
20-05-07 10:15:01 TCP/IP File Server started
20-05-07 10:45:01 TCP/IP File Server started
20-05-07 11:15:01 TCP/IP File Server started
20-05-07 11:45:01 TCP/IP File Server started
20-05-07 12:15:01 TCP/IP File Server started
20-05-07 12:45:01 TCP/IP File Server started
20-05-07 13:15:01 TCP/IP File Server started
20-05-07 13:45:01 TCP/IP File Server started
20-05-07 14:15:01 TCP/IP File Server started
20-05-07 14:45:01 TCP/IP File Server started
20-05-07 15:15:01 TCP/IP File Server started
20-05-07 15:45:01 TCP/IP File Server started
20-05-07 16:15:01 TCP/IP File Server started
20-05-07 16:45:01 TCP/IP File Server started
20-05-07 17:15:01 TCP/IP File Server started
20-05-07 17:45:01 TCP/IP File Server started
20-05-07 18:15:01 TCP/IP File Server started
20-05-07 18:45:01 TCP/IP File Server started
20-05-07 19:15:01 TCP/IP File Server started
20-05-07 19:45:01 TCP/IP File Server started
20-05-07 20:15:01 TCP/IP File Server started
20-05-07 20:45:01 TCP/IP File Server started
20-05-07 21:15:01 TCP/IP File Server started
20-05-07 21:45:01 TCP/IP File Server started
20-05-07 22:15:01 TCP/IP File Server started
20-05-07 22:45:01 TCP/IP File Server started
20-05-07 23:15:01 TCP/IP File Server started
20-05-07 23:45:01 TCP/IP File Server started
20-05-08 00:15:01 TCP/IP File Server started
20-05-08 00:45:01 TCP/IP File Server started
20-05-08 01:15:01 TCP/IP File Server started
20-05-08 01:45:01 TCP/IP File Server started
20-05-08 02:15:01 TCP/IP File Server started
20-05-08 02:20:48  Net - sT.- YnGwi3 connected 8-5-20 02:20:48
20-05-08 02:20:48  Net - sT.- YnGwi3 connected 8-5-20 02:20:48
20-05-08 02:20:48  Net - sT.- YnGwi3 connected 8-5-20 02:20:48
20-05-08 02:21:41  Net - sT.- YnGwi3 disconnected 8-5-20 02:21:41
20-05-08 02:45:01 TCP/IP File Server started
20-05-08 03:15:01 TCP/IP File Server started
20-05-08 03:45:01 TCP/IP File Server started
20-05-08 04:15:01 TCP/IP File Server started
20-05-08 04:45:01 TCP/IP File Server started
20-05-08 05:15:01 TCP/IP File Server started
20-05-08 05:45:01 TCP/IP File Server started
20-05-08 06:15:01 TCP/IP File Server started
20-05-08 06:45:01 TCP/IP File Server started
20-05-08 07:15:01 TCP/IP File Server started
20-05-08 07:45:01 TCP/IP File Server started
20-05-08 08:15:01 TCP/IP File Server started
20-05-08 08:45:01 TCP/IP File Server started
20-05-08 09:15:17 TCP/IP File Server started
20-05-08 09:45:17 TCP/IP File Server started
20-05-08 10:15:17 TCP/IP File Server started
20-05-08 10:45:17 TCP/IP File Server started
20-05-08 11:15:17 TCP/IP File Server started
20-05-08 11:45:17 TCP/IP File Server started
20-05-08 12:15:17 TCP/IP File Server started
20-05-08 12:45:17 TCP/IP File Server started
20-05-08 13:15:17 TCP/IP File Server started
20-05-08 13:45:17 TCP/IP File Server started
20-05-08 14:15:17 TCP/IP File Server started
20-05-08 14:45:17 TCP/IP File Server started
20-05-08 15:15:17 TCP/IP File Server started
20-05-08 15:45:17 TCP/IP File Server started
20-05-08 16:15:17 TCP/IP File Server started
20-05-08 16:45:17 TCP/IP File Server started
20-05-08 17:15:17 TCP/IP File Server started
20-05-08 17:45:17 TCP/IP File Server started
20-05-08 18:15:17 TCP/IP File Server started
20-05-08 18:45:17 TCP/IP File Server started
20-05-08 19:15:17 TCP/IP File Server started
20-05-08 19:45:17 TCP/IP File Server started
20-05-08 20:15:17 TCP/IP File Server started
20-05-08 20:45:17 TCP/IP File Server started
20-05-08 21:15:17 TCP/IP File Server started
20-05-08 21:45:17 TCP/IP File Server started
20-05-08 22:15:17 TCP/IP File Server started
20-05-08 22:45:17 TCP/IP File Server started
20-05-08 23:15:17 TCP/IP File Server started
20-05-08 23:45:17 TCP/IP File Server started
20-05-09 00:15:17 TCP/IP File Server started
20-05-09 00:45:17 TCP/IP File Server started
20-05-09 01:15:17 TCP/IP File Server started
20-05-09 01:45:17 TCP/IP File Server started
20-05-09 02:15:17 TCP/IP File Server started
20-05-09 02:45:17 TCP/IP File Server started
20-05-09 03:15:17 TCP/IP File Server started
20-05-09 03:45:17 TCP/IP File Server started
20-05-09 04:15:17 TCP/IP File Server started
20-05-09 04:45:17 TCP/IP File Server started
20-05-09 05:15:17 TCP/IP File Server started
20-05-09 05:45:17 TCP/IP File Server started
20-05-09 06:15:17 TCP/IP File Server started
20-05-09 06:45:17 TCP/IP File Server started
20-05-09 07:15:17 TCP/IP File Server started
20-05-09 07:45:17 TCP/IP File Server started
20-05-09 08:15:17 TCP/IP File Server started
20-05-09 08:45:17 TCP/IP File Server started
20-05-09 09:15:17 TCP/IP File Server started
20-05-09 09:45:17 TCP/IP File Server started
20-05-09 10:15:17 TCP/IP File Server started
20-05-09 10:45:17 TCP/IP File Server started
20-05-09 11:15:17 TCP/IP File Server started
20-05-09 11:45:17 TCP/IP File Server started
20-05-09 12:15:17 TCP/IP File Server started
20-05-09 12:45:17 TCP/IP File Server started
20-05-09 13:15:17 TCP/IP File Server started
20-05-09 13:45:17 TCP/IP File Server started
20-05-09 14:15:17 TCP/IP File Server started
20-05-09 14:45:17 TCP/IP File Server started
20-05-09 15:15:17 TCP/IP File Server started
20-05-09 15:45:17 TCP/IP File Server started
20-05-09 16:15:17 TCP/IP File Server started
20-05-09 16:45:17 TCP/IP File Server started
20-05-09 17:15:17 TCP/IP File Server started
20-05-09 17:45:17 TCP/IP File Server started
20-05-09 18:15:17 TCP/IP File Server started
20-05-09 18:45:22 TCP/IP File Server started
20-05-09 19:15:22 TCP/IP File Server started
20-05-09 19:45:22 TCP/IP File Server started
20-05-09 20:15:22 TCP/IP File Server started
20-05-09 20:45:22 TCP/IP File Server started
20-05-09 21:15:22 TCP/IP File Server started
20-05-09 21:45:22 TCP/IP File Server started
20-05-09 22:15:22 TCP/IP File Server started
20-05-09 22:45:22 TCP/IP File Server started
20-05-09 23:15:22 TCP/IP File Server started
20-05-09 23:45:22 TCP/IP File Server started
20-05-10 00:15:22 TCP/IP File Server started
20-05-10 00:45:22 TCP/IP File Server started
20-05-10 01:15:22 TCP/IP File Server started
20-05-10 01:45:22 TCP/IP File Server started
20-05-10 02:15:22 TCP/IP File Server started
20-05-10 02:45:22 TCP/IP File Server started
20-05-10 03:15:22 TCP/IP File Server started
20-05-10 03:45:22 TCP/IP File Server started
20-05-10 04:15:22 TCP/IP File Server started
20-05-10 04:45:22 TCP/IP File Server started
20-05-10 05:15:22 TCP/IP File Server started
20-05-10 05:45:22 TCP/IP File Server started
20-05-10 06:15:22 TCP/IP File Server started
20-05-10 06:45:22 TCP/IP File Server started
20-05-10 07:15:22 TCP/IP File Server started
20-05-10 07:45:22 TCP/IP File Server started
20-05-10 08:15:22 TCP/IP File Server started
20-05-10 08:45:22 TCP/IP File Server started
20-05-10 09:15:22 TCP/IP File Server started
20-05-10 09:45:22 TCP/IP File Server started
20-05-10 10:15:22 TCP/IP File Server started
20-05-10 10:45:22 TCP/IP File Server started
20-05-10 11:15:22 TCP/IP File Server started
20-05-10 11:45:22 TCP/IP File Server started
20-05-10 12:15:22 TCP/IP File Server started
20-05-10 12:45:22 TCP/IP File Server started
20-05-10 13:15:22 TCP/IP File Server started
20-05-10 13:45:22 TCP/IP File Server started
20-05-10 14:15:22 TCP/IP File Server started
20-05-10 14:45:22 TCP/IP File Server started
20-05-10 15:15:22 TCP/IP File Server started
20-05-10 15:45:22 TCP/IP File Server started
20-05-10 16:15:22 TCP/IP File Server started
20-05-10 16:45:22 TCP/IP File Server started
20-05-10 17:15:22 TCP/IP File Server started
20-05-10 17:45:22 TCP/IP File Server started
20-05-10 18:15:22 TCP/IP File Server started
20-05-10 18:45:22 TCP/IP File Server started
20-05-10 19:15:22 TCP/IP File Server started
20-05-10 19:45:22 TCP/IP File Server started
20-05-10 20:15:22 TCP/IP File Server started
20-05-10 20:45:22 TCP/IP File Server started
20-05-10 21:15:22 TCP/IP File Server started
20-05-10 21:45:22 TCP/IP File Server started
20-05-10 22:15:22 TCP/IP File Server started
20-05-10 22:45:22 TCP/IP File Server started
20-05-10 23:15:22 TCP/IP File Server started
20-05-10 23:45:22 TCP/IP File Server started
20-05-11 00:15:22 TCP/IP File Server started
20-05-11 00:45:22 TCP/IP File Server started
20-05-11 01:15:22 TCP/IP File Server started
20-05-11 01:45:22 TCP/IP File Server started
20-05-11 02:15:22 TCP/IP File Server started
20-05-11 02:45:22 TCP/IP File Server started
20-05-11 03:15:22 TCP/IP File Server started
20-05-11 03:45:22 TCP/IP File Server started
20-05-11 04:15:22 TCP/IP File Server started
20-05-11 04:45:22 TCP/IP File Server started
20-05-11 05:15:22 TCP/IP File Server started
20-05-11 05:45:22 TCP/IP File Server started
20-05-11 06:15:22 TCP/IP File Server started
20-05-11 06:45:22 TCP/IP File Server started
20-05-11 07:15:22 TCP/IP File Server started
20-05-11 07:45:22 TCP/IP File Server started
20-05-11 08:15:22 TCP/IP File Server started
20-05-11 08:45:22 TCP/IP File Server started
20-05-11 09:15:22 TCP/IP File Server started
20-05-11 09:45:22 TCP/IP File Server started
20-05-11 10:15:22 TCP/IP File Server started
20-05-11 10:45:22 TCP/IP File Server started
20-05-11 11:15:22 TCP/IP File Server started
20-05-11 11:45:22 TCP/IP File Server started
20-05-11 12:15:22 TCP/IP File Server started
20-05-11 12:45:22 TCP/IP File Server started
20-05-11 13:15:22 TCP/IP File Server started
20-05-11 13:45:22 TCP/IP File Server started
20-05-11 14:15:22 TCP/IP File Server started
20-05-11 14:45:22 TCP/IP File Server started
20-05-11 15:15:22 TCP/IP File Server started
20-05-11 15:45:22 TCP/IP File Server started
20-05-11 16:15:22 TCP/IP File Server started
20-05-11 16:45:22 TCP/IP File Server started
20-05-11 17:15:22 TCP/IP File Server started
20-05-11 17:45:22 TCP/IP File Server started
20-05-11 18:15:22 TCP/IP File Server started
20-05-11 18:45:22 TCP/IP File Server started
20-05-11 19:15:22 TCP/IP File Server started
20-05-11 19:45:22 TCP/IP File Server started
20-05-11 20:15:22 TCP/IP File Server started
20-05-11 20:45:22 TCP/IP File Server started
20-05-11 21:15:22 TCP/IP File Server started
20-05-11 21:45:22 TCP/IP File Server started
20-05-11 22:15:22 TCP/IP File Server started
20-05-11 22:45:22 TCP/IP File Server started
20-05-11 23:15:22 TCP/IP File Server started
20-05-11 23:45:22 TCP/IP File Server started
20-05-12 00:15:22 TCP/IP File Server started
20-05-12 00:45:22 TCP/IP File Server started
20-05-12 01:15:22 TCP/IP File Server started
20-05-12 01:45:22 TCP/IP File Server started
20-05-12 02:15:22 TCP/IP File Server started
20-05-12 02:45:22 TCP/IP File Server started
20-05-12 03:15:22 TCP/IP File Server started
20-05-12 03:45:22 TCP/IP File Server started
20-05-12 04:15:22 TCP/IP File Server started
20-05-12 04:45:22 TCP/IP File Server started
20-05-12 05:15:22 TCP/IP File Server started
20-05-12 05:45:22 TCP/IP File Server started
20-05-12 06:15:22 TCP/IP File Server started
20-05-12 06:45:22 TCP/IP File Server started
20-05-12 07:15:22 TCP/IP File Server started
20-05-12 07:45:22 TCP/IP File Server started
20-05-12 08:15:22 TCP/IP File Server started
20-05-12 08:45:22 TCP/IP File Server started
20-05-12 09:15:22 TCP/IP File Server started
20-05-12 09:45:22 TCP/IP File Server started
20-05-12 10:15:22 TCP/IP File Server started
20-05-12 10:45:22 TCP/IP File Server started
20-05-12 11:15:22 TCP/IP File Server started
20-05-12 11:45:22 TCP/IP File Server started
20-05-12 12:15:22 TCP/IP File Server started
20-05-12 12:45:22 TCP/IP File Server started
20-05-12 13:15:22 TCP/IP File Server started
20-05-12 13:45:22 TCP/IP File Server started
20-05-12 14:15:22 TCP/IP File Server started
20-05-12 14:45:22 TCP/IP File Server started
20-05-12 15:15:22 TCP/IP File Server started
20-05-12 15:45:22 TCP/IP File Server started
20-05-12 16:15:22 TCP/IP File Server started
20-05-12 16:45:22 TCP/IP File Server started
20-05-12 17:15:22 TCP/IP File Server started
20-05-12 17:45:22 TCP/IP File Server started
20-05-12 18:15:22 TCP/IP File Server started
20-05-12 18:45:22 TCP/IP File Server started
20-05-12 19:15:22 TCP/IP File Server started
20-05-12 19:45:22 TCP/IP File Server started
20-05-12 20:15:22 TCP/IP File Server started
20-05-12 20:45:22 TCP/IP File Server started
20-05-12 21:15:22 TCP/IP File Server started
20-05-12 21:45:22 TCP/IP File Server started
20-05-12 22:15:22 TCP/IP File Server started
20-05-12 22:45:22 TCP/IP File Server started
20-05-12 23:15:22 TCP/IP File Server started
20-05-12 23:45:22 TCP/IP File Server started
20-05-13 00:09:47  Net - wp.mipHo connected 13-5-20 00:09:47
20-05-13 00:09:53  Net - =E*R= Sadiko connected 13-5-20 00:09:53
20-05-13 00:10:07  Net - =E*R= Sadiko disconnected 13-5-20 00:10:07
20-05-13 00:10:16  Net - =E*R= Sadiko connected 13-5-20 00:10:16
20-05-13 00:15:22 TCP/IP File Server started
20-05-13 00:28:38  Net - VanscL connected 13-5-20 00:28:38
20-05-13 00:29:31  Net - VanscL disconnected 13-5-20 00:29:31
20-05-13 00:40:40  Net - wp.mipHo disconnected 13-5-20 00:40:40
20-05-13 00:40:40  Net - =E*R= Sadiko disconnected 13-5-20 00:40:40
20-05-13 00:45:22 TCP/IP File Server started
20-05-13 01:15:22 TCP/IP File Server started
20-05-13 01:45:22 TCP/IP File Server started
20-05-13 02:15:22 TCP/IP File Server started
20-05-13 02:30:38  Net - =E*R= Sadiko connected 13-5-20 02:30:38
20-05-13 02:31:00  Net - =E*R= Chaky//<3K connected 13-5-20 02:31:00
20-05-13 02:31:03  Net - wp.Sk8' connected 13-5-20 02:31:03
20-05-13 02:31:04  Net - =E*R= Chaky//<3K disconnected 13-5-20 02:31:04
20-05-13 02:31:04  Net - =E*R= Traidor 2 connected 13-5-20 02:31:04
20-05-13 02:31:10  Net - =E*R= Chaky connected 13-5-20 02:31:10
20-05-13 02:31:16  Net - =E*R= Traidor 2 connected 13-5-20 02:31:16
20-05-13 02:31:30  Net - wp.rattle connected 13-5-20 02:31:30
20-05-13 02:31:42  Net - wp.rattle disconnected 13-5-20 02:31:42
20-05-13 02:31:43  Net - Divas| Rattle connected 13-5-20 02:31:43
20-05-13 02:31:49  Net - =E*R= KillMe! connected 13-5-20 02:31:49
20-05-13 02:31:54  Net - Divas| Enigma connected 13-5-20 02:31:54
20-05-13 02:32:12  Net - HughscL connected 13-5-20 02:32:12
20-05-13 02:32:24  Net - *Mand3s connected 13-5-20 02:32:24
20-05-13 02:32:27  Net - gB|  j4zz connected 13-5-20 02:32:27
20-05-13 02:32:27  Net - |D.Forc3|WildR4P` connected 13-5-20 02:32:27
20-05-13 02:32:29  Net - \\F.O.S.T//F4ll.cL connected 13-5-20 02:32:29
20-05-13 02:32:34  Net - wp.lanik connected 13-5-20 02:32:34
20-05-13 02:32:46  Net - wp.lanik disconnected 13-5-20 02:32:46
20-05-13 02:33:14  Net - n0>>Skipo connected 13-5-20 02:33:14
20-05-13 02:33:31  Net - wp.lanik connected 13-5-20 02:33:31
20-05-13 02:33:32  Net - n0>>Skipo disconnected 13-5-20 02:33:32
20-05-13 02:33:32  Net - =E*R= Traidor 2 disconnected 13-5-20 02:33:32
20-05-13 02:33:36  Net - wp.Sk8' disconnected 13-5-20 02:33:36
20-05-13 02:33:43  Net - =E*R= Skipo connected 13-5-20 02:33:43
20-05-13 02:33:44  Net - =E*R= Ultr4 connected 13-5-20 02:33:44
20-05-13 02:33:46  Net - =E*R= Ultr4 connected 13-5-20 02:33:46
20-05-13 02:33:48  Net - Divas| Sk8' connected 13-5-20 02:33:48
20-05-13 02:34:00  Net - Divas| mipHo connected 13-5-20 02:34:00
20-05-13 02:36:15  Net - *Colt connected 13-5-20 02:36:15
20-05-13 02:36:44  Net - |D.Forc3|WildR4P` disconnected 13-5-20 02:36:44
20-05-13 02:36:56  Net - |D.Forc3|WildR4P` connected 13-5-20 02:36:56
20-05-13 02:39:36  Net - Divas| Rattle connected 13-5-20 02:39:36
20-05-13 02:39:47  Net - =E*R= KillMe! connected 13-5-20 02:39:47
20-05-13 02:43:07  Net - =E*R= Chaky connected 13-5-20 02:43:07
20-05-13 02:43:07  Net - Divas| Rattle connected 13-5-20 02:43:07
20-05-13 02:43:36  Net - Divas| Rattle connected 13-5-20 02:43:36
20-05-13 02:45:24 TCP/IP File Server started
20-05-13 02:51:59  Net - Divas| Rattle connected 13-5-20 02:51:59
20-05-13 02:52:02  Net - =E*R= Ultr4 connected 13-5-20 02:52:02
20-05-13 02:52:05  Net - Divas| mipHo connected 13-5-20 02:52:05
20-05-13 02:52:18  Net - =E*R= KillMe! connected 13-5-20 02:52:18
20-05-13 03:03:19  Net - Divas| mipHo connected 13-5-20 03:03:19
20-05-13 03:03:25  Net - Divas| Sk8' connected 13-5-20 03:03:25
20-05-13 03:03:27  Net - gB|  j4zz disconnected 13-5-20 03:03:27
20-05-13 03:03:28  Net - *Mand3s disconnected 13-5-20 03:03:28
20-05-13 03:03:42  Net - *Mand3s connected 13-5-20 03:03:42
20-05-13 03:03:44  Net - gB|  j4zz connected 13-5-20 03:03:44
20-05-13 03:04:27  Net - Divas| mipHo connected 13-5-20 03:04:27
20-05-13 03:04:33  Net - Divas| mipHo connected 13-5-20 03:04:33
20-05-13 03:05:13  Net - gB|  j4zz disconnected 13-5-20 03:05:13
20-05-13 03:05:16  Net - gB|  j4zz connected 13-5-20 03:05:16
20-05-13 03:12:54  Net - \\F.O.S.T//F4ll.cL disconnected 13-5-20 03:12:54
20-05-13 03:15:09  Net - Divas| mipHo disconnected 13-5-20 03:15:09
20-05-13 03:15:10  Net - HughscL disconnected 13-5-20 03:15:10
20-05-13 03:15:11  Net - gB|  j4zz disconnected 13-5-20 03:15:11
20-05-13 03:15:12  Net - Divas| Enigma disconnected 13-5-20 03:15:12
20-05-13 03:15:13  Net - =E*R= Skipo disconnected 13-5-20 03:15:13
20-05-13 03:15:14  Net - Divas| Sk8' disconnected 13-5-20 03:15:14
20-05-13 03:15:14  Net - Divas| Rattle disconnected 13-5-20 03:15:14
20-05-13 03:15:15  Net - |D.Forc3|WildR4P` disconnected 13-5-20 03:15:15
20-05-13 03:15:16  Net - =E*R= KillMe! disconnected 13-5-20 03:15:16
20-05-13 03:15:17  Net - =E*R= Ultr4 disconnected 13-5-20 03:15:17
20-05-13 03:15:18  Net - *Colt disconnected 13-5-20 03:15:18
20-05-13 03:15:24  Net - =E*R= Chaky disconnected 13-5-20 03:15:24
20-05-13 03:15:24 TCP/IP File Server started
20-05-13 03:15:24  Net - =E*R= Sadiko disconnected 13-5-20 03:15:24
20-05-13 03:16:03  Net - wp.lanik disconnected 13-5-20 03:16:03
20-05-13 03:17:38  Net - *Mand3s disconnected 13-5-20 03:17:38
20-05-13 03:45:25 TCP/IP File Server started
20-05-13 04:15:24 TCP/IP File Server started
20-05-13 04:45:25 TCP/IP File Server started
20-05-13 05:15:24 TCP/IP File Server started
20-05-13 05:45:25 TCP/IP File Server started
20-05-13 06:15:24 TCP/IP File Server started
20-05-13 06:45:24 TCP/IP File Server started
20-05-13 07:15:24 TCP/IP File Server started
20-05-13 07:45:24 TCP/IP File Server started
20-05-13 08:15:24 TCP/IP File Server started
20-05-13 08:45:24 TCP/IP File Server started
20-05-13 09:15:25 TCP/IP File Server started
20-05-13 09:45:24 TCP/IP File Server started
20-05-13 10:15:24 TCP/IP File Server started
20-05-13 10:45:25 TCP/IP File Server started
20-05-13 11:15:25 TCP/IP File Server started
20-05-13 11:45:24 TCP/IP File Server started
20-05-13 12:15:25 TCP/IP File Server started
20-05-13 12:45:25 TCP/IP File Server started
20-05-13 13:15:25 TCP/IP File Server started
20-05-13 13:45:25 TCP/IP File Server started
20-05-13 14:15:25 TCP/IP File Server started
20-05-13 14:45:25 TCP/IP File Server started
20-05-13 15:15:24 TCP/IP File Server started
20-05-13 15:45:24 TCP/IP File Server started
20-05-13 16:15:24 TCP/IP File Server started
20-05-13 16:45:24 TCP/IP File Server started
20-05-13 17:15:24 TCP/IP File Server started
20-05-13 17:45:24 TCP/IP File Server started
20-05-13 18:15:24 TCP/IP File Server started
20-05-13 18:45:24 TCP/IP File Server started
20-05-13 19:15:24 TCP/IP File Server started
20-05-13 19:45:25 TCP/IP File Server started
20-05-13 20:15:24 TCP/IP File Server started
20-05-13 20:45:24 TCP/IP File Server started
20-05-13 21:15:24 TCP/IP File Server started
20-05-13 21:45:24 TCP/IP File Server started
20-05-13 22:15:25 TCP/IP File Server started
20-05-13 22:45:25 TCP/IP File Server started
20-05-13 23:15:24 TCP/IP File Server started
20-05-13 23:45:24 TCP/IP File Server started
20-05-14 00:15:25 TCP/IP File Server started
20-05-14 00:45:25 TCP/IP File Server started
20-05-14 01:15:25 TCP/IP File Server started
