20-05-24 19:50:01    Log Started
20-05-24 19:50:01 Opened /home/kader_b/int2/soldat.ini
20-05-24 19:50:01 Creating network interface.
20-05-24 19:50:01 Loading Animations.
20-05-24 19:50:01 Loading Lobby Servers List
20-05-25 13:20:01 TCP/IP File Server started
20-05-25 13:50:02 TCP/IP File Server started
20-05-25 14:20:02 TCP/IP File Server started
20-05-25 14:50:01 TCP/IP File Server started
20-05-25 15:20:01 TCP/IP File Server started
20-05-25 15:50:02 TCP/IP File Server started
20-05-25 16:20:02 TCP/IP File Server started
20-05-25 16:50:02 TCP/IP File Server started
20-05-25 17:20:02 TCP/IP File Server started
20-05-25 17:50:02 TCP/IP File Server started
20-05-25 18:20:02 TCP/IP File Server started
20-05-25 18:50:02 TCP/IP File Server started
20-05-25 19:20:02 TCP/IP File Server started
20-05-25 19:50:01 TCP/IP File Server started
20-05-25 20:20:02 TCP/IP File Server started
20-05-25 20:50:01 TCP/IP File Server started
20-05-25 21:20:02 TCP/IP File Server started
20-05-25 21:50:02 TCP/IP File Server started
20-05-25 22:20:02 TCP/IP File Server started
20-05-25 22:50:02 TCP/IP File Server started
20-05-25 23:20:02 TCP/IP File Server started
20-05-25 23:50:02 TCP/IP File Server started
20-05-26 00:20:01 TCP/IP File Server started
20-05-26 00:50:01 TCP/IP File Server started
20-05-26 01:20:02 TCP/IP File Server started
20-05-26 01:50:02 TCP/IP File Server started
20-05-26 02:20:02 TCP/IP File Server started
20-05-26 02:50:02 TCP/IP File Server started
20-05-26 03:20:02 TCP/IP File Server started
20-05-26 03:50:02 TCP/IP File Server started
20-05-26 04:20:02 TCP/IP File Server started
20-05-26 04:50:02 TCP/IP File Server started
20-05-26 05:20:02 TCP/IP File Server started
20-05-26 05:50:02 TCP/IP File Server started
20-05-26 06:20:02 TCP/IP File Server started
20-05-26 06:50:02 TCP/IP File Server started
20-05-26 07:20:02 TCP/IP File Server started
20-05-26 07:50:01 TCP/IP File Server started
20-05-26 08:20:02 TCP/IP File Server started
20-05-26 08:50:02 TCP/IP File Server started
20-05-26 09:20:02 TCP/IP File Server started
20-05-26 09:50:01 TCP/IP File Server started
20-05-26 10:20:01 TCP/IP File Server started
20-05-26 10:50:02 TCP/IP File Server started
20-05-26 11:20:01 TCP/IP File Server started
20-05-26 11:50:02 TCP/IP File Server started
20-05-26 12:20:02 TCP/IP File Server started
20-05-26 12:50:01 TCP/IP File Server started
20-05-26 13:20:02 TCP/IP File Server started
20-05-26 13:50:02 TCP/IP File Server started
20-05-26 14:20:02 TCP/IP File Server started
20-05-26 14:50:02 TCP/IP File Server started
20-05-26 15:20:02 TCP/IP File Server started
20-05-26 15:50:02 TCP/IP File Server started
20-05-26 16:20:02 TCP/IP File Server started
20-05-26 16:50:02 TCP/IP File Server started
20-05-26 17:20:02 TCP/IP File Server started
20-05-26 17:50:01 TCP/IP File Server started
20-05-26 18:20:02 TCP/IP File Server started
20-05-26 18:50:02 TCP/IP File Server started
20-05-26 19:20:02 TCP/IP File Server started
20-05-26 19:50:02 TCP/IP File Server started
20-05-26 20:20:02 TCP/IP File Server started
20-05-26 20:50:02 TCP/IP File Server started
20-05-26 21:20:01 TCP/IP File Server started
20-05-26 21:50:02 TCP/IP File Server started
20-05-26 22:20:02 TCP/IP File Server started
20-05-26 22:50:02 TCP/IP File Server started
20-05-26 23:20:02 TCP/IP File Server started
20-05-26 23:50:02 TCP/IP File Server started
20-05-27 00:20:02 TCP/IP File Server started
20-05-27 00:50:02 TCP/IP File Server started
20-05-27 01:20:02 TCP/IP File Server started
20-05-27 01:50:01 TCP/IP File Server started
20-05-27 02:20:02 TCP/IP File Server started
20-05-27 02:50:02 TCP/IP File Server started
20-05-27 03:20:02 TCP/IP File Server started
20-05-27 03:50:02 TCP/IP File Server started
20-05-27 04:11:47  Net - wp.rattle connected 27-5-20 04:11:47
20-05-27 04:11:48  Net - wp.rattle disconnected 27-5-20 04:11:48
20-05-27 04:20:01 TCP/IP File Server started
20-05-27 04:50:02 TCP/IP File Server started
20-05-27 05:20:02 TCP/IP File Server started
20-05-27 05:50:02 TCP/IP File Server started
20-05-27 06:20:01 TCP/IP File Server started
20-05-27 06:50:02 TCP/IP File Server started
20-05-27 07:20:01 TCP/IP File Server started
20-05-27 07:50:02 TCP/IP File Server started
20-05-27 08:20:01 TCP/IP File Server started
20-05-27 08:50:02 TCP/IP File Server started
20-05-27 09:20:01 TCP/IP File Server started
20-05-27 09:50:02 TCP/IP File Server started
20-05-27 10:20:01 TCP/IP File Server started
20-05-27 10:50:02 TCP/IP File Server started
20-05-27 11:20:02 TCP/IP File Server started
20-05-27 11:50:02 TCP/IP File Server started
20-05-27 12:20:02 TCP/IP File Server started
20-05-27 12:50:01 TCP/IP File Server started
20-05-27 13:20:02 TCP/IP File Server started
20-05-27 13:50:01 TCP/IP File Server started
20-05-27 14:20:02 TCP/IP File Server started
20-05-27 14:50:02 TCP/IP File Server started
20-05-27 15:20:02 TCP/IP File Server started
20-05-27 15:50:02 TCP/IP File Server started
20-05-27 16:20:02 TCP/IP File Server started
20-05-27 16:50:01 TCP/IP File Server started
20-05-27 17:20:02 TCP/IP File Server started
20-05-27 17:50:01 TCP/IP File Server started
20-05-27 18:20:02 TCP/IP File Server started
20-05-27 18:50:02 TCP/IP File Server started
20-05-27 19:20:02 TCP/IP File Server started
20-05-27 19:50:02 TCP/IP File Server started
20-05-27 20:20:02 TCP/IP File Server started
20-05-27 20:50:02 TCP/IP File Server started
20-05-27 21:20:02 TCP/IP File Server started
20-05-27 21:50:02 TCP/IP File Server started
20-05-27 22:20:02 TCP/IP File Server started
20-05-27 22:50:02 TCP/IP File Server started
20-05-27 23:20:01 TCP/IP File Server started
20-05-27 23:50:02 TCP/IP File Server started
20-05-28 00:20:02 TCP/IP File Server started
20-05-28 00:50:02 TCP/IP File Server started
20-05-28 01:20:02 TCP/IP File Server started
20-05-28 01:50:02 TCP/IP File Server started
20-05-28 02:20:02 TCP/IP File Server started
20-05-28 02:50:02 TCP/IP File Server started
20-05-28 03:20:02 TCP/IP File Server started
20-05-28 03:50:02 TCP/IP File Server started
20-05-28 04:20:02 TCP/IP File Server started
20-05-28 04:50:02 TCP/IP File Server started
20-05-28 05:20:02 TCP/IP File Server started
20-05-28 05:50:01 TCP/IP File Server started
20-05-28 06:20:02 TCP/IP File Server started
20-05-28 06:50:02 TCP/IP File Server started
20-05-28 07:20:02 TCP/IP File Server started
20-05-28 07:50:02 TCP/IP File Server started
20-05-28 08:20:02 TCP/IP File Server started
20-05-28 08:50:01 TCP/IP File Server started
20-05-28 09:20:02 TCP/IP File Server started
20-05-28 09:50:02 TCP/IP File Server started
20-05-28 10:20:01 TCP/IP File Server started
20-05-28 10:50:02 TCP/IP File Server started
20-05-28 11:20:02 TCP/IP File Server started
20-05-28 11:50:02 TCP/IP File Server started
20-05-28 12:20:01 TCP/IP File Server started
20-05-28 12:50:01 TCP/IP File Server started
20-05-28 13:20:01 TCP/IP File Server started
20-05-28 13:50:02 TCP/IP File Server started
20-05-28 14:20:02 TCP/IP File Server started
20-05-28 14:50:02 TCP/IP File Server started
20-05-28 15:20:02 TCP/IP File Server started
20-05-28 15:50:02 TCP/IP File Server started
20-05-28 16:20:02 TCP/IP File Server started
20-05-28 16:50:01 TCP/IP File Server started
20-05-28 17:20:02 TCP/IP File Server started
20-05-28 17:50:02 TCP/IP File Server started
20-05-28 18:20:02 TCP/IP File Server started
20-05-28 18:50:01 TCP/IP File Server started
20-05-28 19:20:02 TCP/IP File Server started
20-05-28 19:50:02 TCP/IP File Server started
20-05-28 20:20:02 TCP/IP File Server started
20-05-28 20:50:02 TCP/IP File Server started
20-05-28 21:20:02 TCP/IP File Server started
20-05-28 21:50:02 TCP/IP File Server started
20-05-28 22:20:01 TCP/IP File Server started
20-05-28 22:50:02 TCP/IP File Server started
20-05-28 23:20:02 TCP/IP File Server started
20-05-28 23:50:01 TCP/IP File Server started
20-05-29 00:20:02 TCP/IP File Server started
20-05-29 00:50:02 TCP/IP File Server started
20-05-29 01:20:01 TCP/IP File Server started
20-05-29 01:50:02 TCP/IP File Server started
20-05-29 02:20:02 TCP/IP File Server started
20-05-29 02:50:01 TCP/IP File Server started
20-05-29 03:20:02 TCP/IP File Server started
20-05-29 03:50:02 TCP/IP File Server started
20-05-29 04:20:02 TCP/IP File Server started
20-05-29 04:50:02 TCP/IP File Server started
20-05-29 05:20:02 TCP/IP File Server started
20-05-29 05:50:02 TCP/IP File Server started
20-05-29 06:20:02 TCP/IP File Server started
20-05-29 06:50:02 TCP/IP File Server started
20-05-29 07:20:02 TCP/IP File Server started
20-05-29 07:50:02 TCP/IP File Server started
20-05-29 08:20:02 TCP/IP File Server started
20-05-29 08:50:02 TCP/IP File Server started
20-05-29 09:20:01 TCP/IP File Server started
20-05-29 09:50:02 TCP/IP File Server started
20-05-29 10:20:02 TCP/IP File Server started
20-05-29 10:50:02 TCP/IP File Server started
20-05-29 11:20:02 TCP/IP File Server started
20-05-29 11:50:01 TCP/IP File Server started
20-05-29 12:20:02 TCP/IP File Server started
20-05-29 12:50:02 TCP/IP File Server started
20-05-29 13:20:01 TCP/IP File Server started
20-05-29 13:50:01 TCP/IP File Server started
20-05-29 14:20:01 TCP/IP File Server started
20-05-29 14:50:02 TCP/IP File Server started
20-05-29 15:20:02 TCP/IP File Server started
20-05-29 15:50:02 TCP/IP File Server started
20-05-29 16:20:02 TCP/IP File Server started
20-05-29 16:50:02 TCP/IP File Server started
20-05-29 17:20:02 TCP/IP File Server started
20-05-29 17:50:02 TCP/IP File Server started
20-05-29 18:20:02 TCP/IP File Server started
20-05-29 18:50:02 TCP/IP File Server started
20-05-29 19:20:02 TCP/IP File Server started
20-05-29 19:50:01 TCP/IP File Server started
20-05-29 20:20:02 TCP/IP File Server started
20-05-29 20:50:02 TCP/IP File Server started
20-05-29 21:20:01 TCP/IP File Server started
20-05-29 21:50:02 TCP/IP File Server started
20-05-29 22:20:01 TCP/IP File Server started
20-05-29 22:50:02 TCP/IP File Server started
20-05-29 23:20:02 TCP/IP File Server started
